GeneID	Clade	ExpressionMean	species
CG10001	4	0.55	Drosophila
CG10005	7	37.75	Drosophila
CG10009	2	59.25	Drosophila
CG10016	1	89	Drosophila
CG10018	1	3.5	Drosophila
CG10021	1	45	Drosophila
CG10023	1	19.5	Drosophila
CG10026	2	5.25	Drosophila
CG10031	1	3	Drosophila
CG10034	4	3	Drosophila
CG10035	10	6.1	Drosophila
CG10037	4	98.25	Drosophila
CG10038	2	25	Drosophila
CG1004	1	29	Drosophila
CG10042	2	16.5	Drosophila
CG10045	1	147.5	Drosophila
CG10047	1	63.5	Drosophila
CG10050	1	4.25	Drosophila
CG10051	1	5.5	Drosophila
CG10053	2	21.75	Drosophila
CG10055	2	22	Drosophila
CG10059	2	30.5	Drosophila
CG10060	1	113.5	Drosophila
CG10061	2	4.5	Drosophila
CG10062	1	0.45	Drosophila
CG10063	11	0.725	Drosophila
CG10067	1	1373.5	Drosophila
CG10068	2	11.75	Drosophila
CG10069	1	18.25	Drosophila
CG1007	5	314.75	Drosophila
CG10071	2	2762.5	Drosophila
CG10073	1	1.3	Drosophila
CG10075	1	11.75	Drosophila
CG10077	1	117.75	Drosophila
CG10078	1	31	Drosophila
CG10079	1	23.25	Drosophila
CG10080	2	10	Drosophila
CG10083	2	27.75	Drosophila
CG10084	2	44.75	Drosophila
CG10086	2	1.65	Drosophila
CG10089	1	0.575	Drosophila
CG10098	1	32	Drosophila
CG10103	2	37.25	Drosophila
CG10105	3	5.725	Drosophila
CG10106	4	302.25	Drosophila
CG10108	11	13	Drosophila
CG10110	2	17.25	Drosophila
CG10112	9	182.5	Drosophila
CG10121	4	44	Drosophila
CG10122	1	17	Drosophila
CG10123	1	2.15	Drosophila
CG10125	4	5.875	Drosophila
CG10128	1	31.75	Drosophila
CG10129	1	0.225	Drosophila
CG10130	2	613.5	Drosophila
CG10132	1	12	Drosophila
CG10134	8	3.75	Drosophila
CG10137	2	5	Drosophila
CG10139	4	36.5	Drosophila
CG10142	1	6.375	Drosophila
CG10144	2	7.75	Drosophila
CG10145	1	20.75	Drosophila
CG10147	1	12.75	Drosophila
CG10149	1	85.25	Drosophila
CG10151	4	10	Drosophila
CG10152	8	0.925	Drosophila
CG10157	2	57.75	Drosophila
CG10158	4	43.25	Drosophila
CG10159	11	64	Drosophila
CG10160	1	125.25	Drosophila
CG10161	2	126	Drosophila
CG10166	1	68.75	Drosophila
CG1017	2	29	Drosophila
CG10173	2	5.5	Drosophila
CG10175	1	3.5	Drosophila
CG10176	10	7.5	Drosophila
CG10181	1	1.825	Drosophila
CG10182	1	0.575	Drosophila
CG10184	1	6.5	Drosophila
CG10188	2	13.75	Drosophila
CG10189	2	7.575	Drosophila
CG10191	1	19.475	Drosophila
CG10203	1	208.5	Drosophila
CG10209	10	9	Drosophila
CG1021	4	69.5	Drosophila
CG10210	1	3.5	Drosophila
CG10214	1	45	Drosophila
CG10215	1	3.25	Drosophila
CG10217	4	128	Drosophila
CG10219	3	71.5	Drosophila
CG10221	1	28	Drosophila
CG10222	1	9.25	Drosophila
CG10226	1	0.6	Drosophila
CG10229	1	25.25	Drosophila
CG10230	2	43.25	Drosophila
CG10232	1	2.5	Drosophila
CG10234	1	15.25	Drosophila
CG10236	1	121.75	Drosophila
CG10237	2	7.625	Drosophila
CG1024	6	15.75	Drosophila
CG10241	1	1.775	Drosophila
CG10242	1	6.5	Drosophila
CG10248	1	38.5	Drosophila
CG10250	6	7.25	Drosophila
CG10253	1	11.5	Drosophila
CG10255	1	15	Drosophila
CG10262	1	6.175	Drosophila
CG10265	11	10.25	Drosophila
CG10267	1	48.75	Drosophila
CG10268	2	38.75	Drosophila
CG10270	1	24.25	Drosophila
CG10278	2	23.5	Drosophila
CG10280	1	1.85	Drosophila
CG10281	2	62.5	Drosophila
CG10283	6	21.25	Drosophila
CG10286	2	35.5	Drosophila
CG10289	2	17.5	Drosophila
CG10298	1	1.35	Drosophila
CG1030	2	16.75	Drosophila
CG10300	4	5	Drosophila
CG10301	4	1.925	Drosophila
CG10306	2	253.5	Drosophila
CG10307	1	1.85	Drosophila
CG1031	1	8.25	Drosophila
CG10311	10	12.25	Drosophila
CG10315	1	23.75	Drosophila
CG10318	2	23	Drosophila
CG10321	1	22.5	Drosophila
CG10324	2	15.5	Drosophila
CG10325	2	46.5	Drosophila
CG10326	6	102	Drosophila
CG10327	1	44	Drosophila
CG10328	1	18.75	Drosophila
CG10333	1	19.5	Drosophila
CG10334	6	136	Drosophila
CG10335	1	27.75	Drosophila
CG10336	2	10.25	Drosophila
CG10337	11	6.75	Drosophila
CG10338	2	19.25	Drosophila
CG10339	1	1.55	Drosophila
CG1034	2	26.75	Drosophila
CG10343	2	31	Drosophila
CG10344	2	4.2	Drosophila
CG10347	4	18.75	Drosophila
CG10348	1	8	Drosophila
CG10354	2	41	Drosophila
CG10359	2	1.25	Drosophila
CG10360	2	88.25	Drosophila
CG10361	1	23.5	Drosophila
CG10362	3	1.975	Drosophila
CG10363	1	31.75	Drosophila
CG10364	11	55	Drosophila
CG10365	1	6.95	Drosophila
CG10366	1	9.5	Drosophila
CG10369	1	3.25	Drosophila
CG10370	1	57.25	Drosophila
CG10371	1	27.75	Drosophila
CG10372	2	61.5	Drosophila
CG10373	2	72.5	Drosophila
CG10374	3	20	Drosophila
CG10375	1	24	Drosophila
CG10376	1	13	Drosophila
CG10377	1	241	Drosophila
CG10379	2	22.5	Drosophila
CG10382	1	19	Drosophila
CG10383	1	7.5	Drosophila
CG10384	2	2.25	Drosophila
CG10385	6	25.75	Drosophila
CG10390	2	1.9	Drosophila
CG10396	3	1.5	Drosophila
CG10399	1	7.35	Drosophila
CG10406	2	73.25	Drosophila
CG10407	4	3.55	Drosophila
CG10413	1	36.5	Drosophila
CG10414	1	8.5	Drosophila
CG10415	2	16.25	Drosophila
CG10417	1	174.25	Drosophila
CG10418	2	43	Drosophila
CG10419	3	31.25	Drosophila
CG10423	1	1466	Drosophila
CG10424	1	16.75	Drosophila
CG10425	1	44.75	Drosophila
CG10426	2	4.75	Drosophila
CG10428	1	21.75	Drosophila
CG10433	10	9.75	Drosophila
CG10435	4	18.5	Drosophila
CG1044	3	10.25	Drosophila
CG10440	2	5	Drosophila
CG10445	1	0.65	Drosophila
CG10446	4	9.75	Drosophila
CG10447	2	47.75	Drosophila
CG10449	1	78	Drosophila
CG1046	2	0.775	Drosophila
CG10460	2	90.75	Drosophila
CG10462	1	18.25	Drosophila
CG10463	1	8.25	Drosophila
CG10465	2	125.5	Drosophila
CG10466	1	26.75	Drosophila
CG10470	2	80.5	Drosophila
CG10472	1	4.5	Drosophila
CG10479	6	93	Drosophila
CG10480	1	100.75	Drosophila
CG10483	2	4.5	Drosophila
CG10488	3	4.5	Drosophila
CG1049	1	47.5	Drosophila
CG10491	4	7	Drosophila
CG10494	6	3.125	Drosophila
CG10496	10	12.25	Drosophila
CG10497	4	151.75	Drosophila
CG10498	1	11	Drosophila
CG10501	1	31.75	Drosophila
CG10504	1	78	Drosophila
CG10508	8	7.75	Drosophila
CG10512	1	22.75	Drosophila
CG10514	1	1.075	Drosophila
CG10516	1	61.75	Drosophila
CG10521	3	13	Drosophila
CG10522	1	23	Drosophila
CG10527	1	8.75	Drosophila
CG10528	3	34	Drosophila
CG10530	4	49.5	Drosophila
CG10533	4	11.375	Drosophila
CG10534	4	58.25	Drosophila
CG10535	2	9	Drosophila
CG10537	1	3	Drosophila
CG10540	2	78.75	Drosophila
CG10545	1	176.25	Drosophila
CG10546	2	1.1	Drosophila
CG10555	2	19	Drosophila
CG10561	1	5.5	Drosophila
CG10562	1	1.15	Drosophila
CG10563	2	12	Drosophila
CG10564	1	0.85	Drosophila
CG10565	1	72.75	Drosophila
CG10566	4	12.5	Drosophila
CG1057	2	35.25	Drosophila
CG10571	1	18	Drosophila
CG10572	1	5	Drosophila
CG10575	1	3.25	Drosophila
CG10576	1	213.5	Drosophila
CG1058	2	8	Drosophila
CG10580	2	46.5	Drosophila
CG10582	2	22.5	Drosophila
CG10583	2	2.75	Drosophila
CG10584	1	8.5	Drosophila
CG10585	1	42.75	Drosophila
CG10590	2	48.5	Drosophila
CG10592	1	0.475	Drosophila
CG10593	1	68	Drosophila
CG10594	1	0.8	Drosophila
CG10596	8	61.75	Drosophila
CG10600	3	7.25	Drosophila
CG10604	1	1.2	Drosophila
CG10610	3	9.5	Drosophila
CG10616	6	30	Drosophila
CG10619	2	39.75	Drosophila
CG10620	2	83.25	Drosophila
CG10621	1	100.5	Drosophila
CG10622	1	48.25	Drosophila
CG10623	1	3.2	Drosophila
CG10624	7	149	Drosophila
CG10626	3	0.45	Drosophila
CG10627	1	66	Drosophila
CG10628	1	10.75	Drosophila
CG10630	5	6.25	Drosophila
CG10635	2	72.75	Drosophila
CG10638	1	18	Drosophila
CG10639	1	22.75	Drosophila
CG1064	2	88.25	Drosophila
CG10640	2	205.25	Drosophila
CG10641	1	37.75	Drosophila
CG10642	2	14.75	Drosophila
CG10645	2	11.5	Drosophila
CG10646	1	8.375	Drosophila
CG10648	2	57.75	Drosophila
CG1065	1	111.75	Drosophila
CG10650	11	14.5	Drosophila
CG10653	2	33	Drosophila
CG10654	1	13	Drosophila
CG10657	2	2.7	Drosophila
CG10658	12	7.925	Drosophila
CG10664	3	261.25	Drosophila
CG10669	1	4	Drosophila
CG10672	1	17.5	Drosophila
CG10673	1	16.25	Drosophila
CG10674	2	21.25	Drosophila
CG10679	1	57	Drosophila
CG10680	12	0.275	Drosophila
CG10681	2	9.75	Drosophila
CG10685	1	23.75	Drosophila
CG10687	1	37.25	Drosophila
CG10688	1	28.25	Drosophila
CG10689	1	6.5	Drosophila
CG10691	1	64.25	Drosophila
CG10693	1	4	Drosophila
CG10695	1	19.25	Drosophila
CG10697	1	1.5	Drosophila
CG10698	5	1.75	Drosophila
CG10699	2	16.75	Drosophila
CG10701	2	98	Drosophila
CG10702	4	9.5	Drosophila
CG10703	2	22.75	Drosophila
CG10704	2	2.25	Drosophila
CG1071	2	35.5	Drosophila
CG10710	8	8.5	Drosophila
CG10713	10	1.75	Drosophila
CG10717	11	599	Drosophila
CG10718	2	3.875	Drosophila
CG10719	1	60.5	Drosophila
CG1072	2	19.75	Drosophila
CG10721	1	5.9	Drosophila
CG10722	5	2.775	Drosophila
CG10723	1	1.4	Drosophila
CG10731	1	10.75	Drosophila
CG10732	9	13.25	Drosophila
CG10733	2	99.75	Drosophila
CG10738	1	0.8	Drosophila
CG10739	4	10	Drosophila
CG1074	1	23	Drosophila
CG10741	10	17	Drosophila
CG10742	3	19.75	Drosophila
CG10743	2	47.5	Drosophila
CG10751	1	159.25	Drosophila
CG10754	2	63	Drosophila
CG10756	2	75.75	Drosophila
CG10757	1	37.5	Drosophila
CG1076	2	0.45	Drosophila
CG10763	1	16.25	Drosophila
CG1077	1	0.8	Drosophila
CG10776	1	4.25	Drosophila
CG10777	1	45.25	Drosophila
CG10778	1	15.5	Drosophila
CG1078	2	37	Drosophila
CG1079	10	3.5	Drosophila
CG10794	10	0.95	Drosophila
CG10795	1	10.75	Drosophila
CG10799	12	1.825	Drosophila
CG10800	12	24	Drosophila
CG10801	4	0.425	Drosophila
CG10803	1	14	Drosophila
CG10805	2	16.5	Drosophila
CG10806	1	2	Drosophila
CG10808	3	9.75	Drosophila
CG10809	1	17.75	Drosophila
CG1081	1	84	Drosophila
CG10812	7	410.425	Drosophila
CG1082	1	5.125	Drosophila
CG10833	1	12.725	Drosophila
CG10849	1	76.25	Drosophila
CG10850	2	2.7	Drosophila
CG10851	1	150	Drosophila
CG10855	10	7	Drosophila
CG10861	2	23	Drosophila
CG10863	1	27	Drosophila
CG10864	1	1.075	Drosophila
CG10866	2	3.75	Drosophila
CG10868	2	1.675	Drosophila
CG10874	4	15.5	Drosophila
CG10880	11	32.25	Drosophila
CG10889	2	4	Drosophila
CG10895	1	16.75	Drosophila
CG10898	1	24.25	Drosophila
CG1090	1	2.75	Drosophila
CG10901	10	10.125	Drosophila
CG10903	1	25.25	Drosophila
CG10904	4	25	Drosophila
CG10907	1	23.25	Drosophila
CG10911	11	0.75	Drosophila
CG10913	1	38.25	Drosophila
CG10914	1	7.25	Drosophila
CG10915	5	14	Drosophila
CG10916	1	8.5	Drosophila
CG10917	1	28.25	Drosophila
CG10922	2	105.25	Drosophila
CG10923	2	8.25	Drosophila
CG10927	1	7.95	Drosophila
CG10932	1	16.5	Drosophila
CG10933	2	15.25	Drosophila
CG10936	8	10.5	Drosophila
CG10938	1	79.25	Drosophila
CG10939	1	69.75	Drosophila
CG10946	4	1.5	Drosophila
