Paralogue_Pair1,RCC_scA,RCC_scB,Duplication type1,9_Supercluster_Class,36_RCC_Class,scA_RCC-u?,scB_RCC-u?,Morphological Differentiation2,Ka,Ks,Ka/Ks,scA_Orthogroup3,scB_paralogue3,scA_Orthogroup_rank3,scB_Orthogroup_rank3,Pair_Orthogroup_rank,scA_subgenome4,scB_subgenome4
AT1G01010/AT4G01550,AT1G01010,AT4G01550,alpha,3,3,yes,no,NA,0.70861099,1.35528367,0.522850681,NA,NA,NA,NA,NA,?,?
AT1G01020/AT4G01510,AT1G01020,AT4G01510,alpha,3,3,yes,no,NA,0.227651346,0.699113427,0.325628627,ORTHO007898,ORTHO007898,3404,3404,3404,?,?
AT1G01030/AT4G01500,AT1G01030,AT4G01500,alpha,1,1,no,no,NA,0.438859846,0.95505233,0.459513927,NA,NA,NA,NA,NA,?,?
AT1G01100/AT4G00810,AT1G01100,AT4G00810,alpha,2,2,yes,yes,NA,0.0480489,1.154909164,0.041604051,NA,ORTHO001252,NA,5492,5492,?,?
AT1G01160/AT4G00850,AT1G01160,AT4G00850,alpha,3,3,no,no,NA,0.166148488,0.888792459,0.186937329,ORTHO004613,ORTHO004613,3515,3515,3515,?,?
AT1G01340/AT4G01010,AT1G01340,AT4G01010,alpha,3,3,no,no,NA,0.111138933,0.866566491,0.128252055,NA,NA,NA,NA,NA,?,?
AT1G01350/AT4G01023,AT1G01350,AT4G01023,alpha,3,3,yes,no,NA,1.385043041,1.709205414,0.810343233,ORTHO005580,NA,7040,NA,7040,?,?
AT1G01360/AT4G01026,AT1G01360,AT4G01026,alpha,2,2,yes,yes,NA,0.1113466,0.73902694,0.150666497,ORTHO001051,NA,814,NA,814,?,?
AT1G01380/AT4G01060,AT1G01380,AT4G01060,alpha,3,3,no,no,NA,0.144343796,0.716633584,0.201419245,NA,NA,NA,NA,NA,?,?
AT1G01430/AT4G01080,AT1G01430,AT4G01080,alpha,3,3,yes,no,NA,0.236668598,0.928150434,0.254989481,ORTHO000790,ORTHO000790,483,483,483,?,?
AT1G01440/AT4G01090,AT1G01440,AT4G01090,alpha,2,2,no,no,NA,0.259692869,0.622941259,0.416881794,ORTHO000790,ORTHO000790,483,483,483,?,?
AT1G01460/AT4G01190,AT1G01460,AT4G01190,alpha,2,2,no,no,NA,0.187433981,0.81134291,0.231016971,NA,NA,NA,NA,NA,?,?
AT1G01540/AT4G01330,AT1G01540,AT4G01330,alpha,2,2,yes,yes,NA,0.075653983,1.094719226,0.069108116,NA,NA,NA,NA,NA,?,?
AT1G01550/AT4G01360,AT1G01550,AT4G01360,alpha,3,3,yes,no,NA,0.310234002,1.134656718,0.273416618,NA,NA,NA,NA,NA,?,?
AT1G01620/AT4G00430,AT1G01620,AT4G00430,alpha,2,2,yes,yes,NA,0.020527597,0.881679997,0.023282367,ORTHO000474,ORTHO000474,2838,2838,2838,B,A
AT1G01710/AT4G00520,AT1G01710,AT4G00520,alpha,2,2,yes,no,NA,0.203123537,0.66868542,0.303765464,ORTHO004698,ORTHO004698,2564,2564,2564,?,?
AT1G01750/AT4G00680,AT1G01750,AT4G00680,alpha,2,2,yes,yes,NA,0.063083567,0.523545897,0.120492908,ORTHO000832,ORTHO000832,226,226,226,?,?
AT1G01790/AT4G00630,AT1G01790,AT4G00630,alpha,2,2,no,yes,NA,0.126336975,0.646917724,0.195290639,ORTHO003109,ORTHO003109,2216,2216,2216,?,?
AT1G02000/AT4G00110,AT1G02000,AT4G00110,alpha,3,3,yes,yes,NA,0.046207169,1.060502123,0.043571029,NA,NA,NA,NA,NA,?,?
AT1G02370/AT4G01990,AT1G02370,AT4G01990,alpha,2,2,no,no,NA,0.228228345,0.845864097,0.269816802,ORTHO003790,ORTHO003790,3437,3437,3437,?,?
AT1G02460/AT4G01890,AT1G02460,AT4G01890,alpha,4,4,no,no,NA,0.193072008,0.970220676,0.198998035,ORTHO000592_1,ORTHO000592_1,172,172,172,B,A
AT1G02475/AT4G01885,AT1G02475,AT4G01885,alpha,NA,NA,no,no,NA,NA,NA,NA,ORTHO005449,NA,2220,NA,2220,?,?
AT1G02500/AT4G01850,AT1G02500,AT4G01850,alpha,2,2,yes,yes,NA,0.021862535,0.653324053,0.033463538,ORTHO000313_1,ORTHO000313_1,836,836,836,?,?
AT1G02520/AT4G01830,AT1G02520,AT4G01830,alpha,3,3,no,no,NA,0.112649284,1.048394605,0.107449316,NA,NA,NA,NA,NA,?,?
AT1G02610/AT4G02075,AT1G02610,AT4G02075,alpha,3,3,yes,no,NA,0.193374309,0.804684413,0.240310743,ORTHO002967,ORTHO002967,28,28,28,?,?
AT1G02690/AT4G02150,AT1G02690,AT4G02150,alpha,3,3,no,no,NA,0.157033769,0.821932188,0.191054409,NA,NA,NA,NA,NA,?,?
